sci_name,pop_name1,pop_name2,pop_name3,psychedelic,edible,inedible,poisonous,edibility_notes,location1,location2,location3,location4,location5,location6
Conocybe cyanopus,,,,1,0,0,0,,North America,Europe,,,,
Conocybe siligineoides,Cone Caps,Tamu,,1,0,0,0,,North America,,,,,
Panaeolus bisporus,,,,1,0,0,0,,North America,Africa,Europe,Pacific Islands,,
Panaeolus cambodginiensis,,,,1,0,0,0,,Asia,Pacific Islands,,,,
Panaeolus cyanescens,,,,1,0,0,0,,North America,South America,Africa,Europe,Pacific Islands,Asia
Galerina steglichii,,,,1,0,0,0,,Europe,,,,,
Gymnopilus aeruginosus,Magic Blue Gym,,,1,0,0,0,,North America,Asia,,,,
Gymnopilus braendlei,,,,1,0,0,0,,North America,,,,,
Gymnopilus cyanopalmicola,,,,1,0,0,0,,North America,,,,,
Gymnopilus dilepis,,,,1,0,0,0,,North America,Asia,,,,
Gymnopilus dunensis,,,,1,0,0,0,,Asia,,,,,
Gymnopilus letuofolius,,,,1,0,0,0,,North America,,,,,
Gymnopilus luteoviridis,,,,1,0,0,0,,North America,,,,,
Gymnopilus luteus,Yellow Gymnopilus,,,1,0,0,0,,North America,,,,,
Gymnopilus purpuratus,,,,1,0,0,0,,North America,South America,Pacific Islands,Asia,,
Gymnopilus subpurpuratus,,,,1,0,0,0,,North America,,,,,
Gymnopilus valipides,,,,1,0,0,0,,North America,Europe,,,,
Gymnopilus viridans,,,,1,0,0,0,,North America,,,,,
Inocybe aeruginascens,,,,1,0,0,0,,North America,Europe,,,,
Inocybe coelestium,,,,1,0,0,0,,Europe,,,,,
Inocybe corydalina,Greenflush Fibrecap,,,1,0,0,0,,Europe,,,,,
Inocybe haemacta,,,,1,0,0,0,,Europe,,,,,
Inocybe tricolor,,,,1,0,0,0,,Europe,,,,,
Panaeolus africanus,,,,1,0,0,0,,Africa,,,,,
Panaeolus cinctulus,Banded Mottlegill,Weed Panaeolus,Subbs,1,0,0,0,,Africa,Europe,North America,South America,Asia,Pacific Islands
Panaeolus fimicola,,,,1,0,0,0,,North America,South America,Africa,Europe,Asia,
Panaeolus lentisporus,,,,1,0,0,0,,Asia,Pacific Islands,,,,
Panaeolus microsporus,,,,1,0,0,0,,North America,,,,,
Panaeolus moellerianus,,,,1,0,0,0,,North America,,,,,
Panaeolus olivaceus,,,,1,0,0,0,,North America,South America,Europe,,,
Panaeolus rubricaulis,,,,1,0,0,0,,North America,,,,,
Panaeolus tropicalis,,,,1,0,0,0,,Pacific Islands,Africa,North America,Asia,,
Panaeolus venezolanas,,,,1,0,0,0,,South America,,,,,
Pholiotina smithii,,,,1,0,0,0,,North America,,,,,
Pluteo albostipitatus,,,,1,0,0,0,,North America,,,,,
